Progress:    0.00		Scanning FileLayer using PageMapScannerProgress:   23.33		Scanning FileLayer using PageMapScannerProgress:  100.00		Stacking attempts finished             Progress:  100.00		PDB scanning finished                  Volatility 3 Framework 2.27.0

Offset	Record Type	Record Number	Link Count	MFT Type	Permissions	Attribute Type	Created	Modified	Updated	Accessed	Filename

0xa450	FILE	0	1	File	N/A	STANDARD_INFORMATION	2025-10-22 17:29:42.000000 UTC	2025-10-22 17:29:42.000000 UTC	2025-10-22 17:29:42.000000 UTC	2025-10-22 17:29:42.000000 UTC	N/A
* 0xa4b0	FILE	0	1	File	0x6	FILE_NAME	2025-10-22 17:29:42.000000 UTC	2025-10-22 17:29:42.000000 UTC	2025-10-22 17:29:42.000000 UTC	2025-10-22 17:29:42.000000 UTC	$MFT
0xa858	FILE	5	1	DirInUse	N/A	STANDARD_INFORMATION	2019-12-07 09:03:44.000000 UTC	2025-10-22 22:56:26.000000 UTC	2025-10-22 22:56:26.000000 UTC	2025-10-22 23:04:37.000000 UTC	N/A
* 0xa8b8	FILE	5	1	DirInUse	0x6	FILE_NAME	2025-10-22 17:29:42.000000 UTC	2025-10-22 17:29:42.000000 UTC	2025-10-22 17:29:42.000000 UTC	2025-10-22 17:29:42.000000 UTC	.
0xac58	FILE	5	1	DirInUse	N/A	STANDARD_INFORMATION	2019-12-07 09:03:44.000000 UTC	2025-10-22 22:56:26.000000 UTC	2025-10-22 22:56:26.000000 UTC	2025-10-22 23:04:37.000000 UTC	N/A
* 0xacb8	FILE	5	1	DirInUse	0x6	FILE_NAME	2025-10-22 17:29:42.000000 UTC	2025-10-22 17:29:42.000000 UTC	2025-10-22 17:29:42.000000 UTC	2025-10-22 17:29:42.000000 UTC	.
0xb058	FILE	5	1	DirInUse	N/A	STANDARD_INFORMATION	2019-12-07 09:03:44.000000 UTC	2025-10-22 22:56:26.000000 UTC	2025-10-22 22:56:26.000000 UTC	2025-10-22 23:04:37.000000 UTC	N/A
* 0xb0b8	FILE	5	1	DirInUse	0x6	FILE_NAME	2025-10-22 17:29:42.000000 UTC	2025-10-22 17:29:42.000000 UTC	2025-10-22 17:29:42.000000 UTC	2025-10-22 17:29:42.000000 UTC	.
0xb458	FILE	104265	1	File	N/A	STANDARD_INFORMATION	2025-10-22 17:40:59.000000 UTC	2023-12-04 02:42:00.000000 UTC	2025-10-22 17:40:59.000000 UTC	2025-10-22 17:40:59.000000 UTC	N/A
* 0xb4b8	FILE	104265	1	File	Archive	FILE_NAME	2025-10-22 17:40:59.000000 UTC	2025-10-22 17:40:59.000000 UTC	2025-10-22 17:40:59.000000 UTC	2025-10-22 17:40:59.000000 UTC	bootmgr
0x2b050	FILE	1564	1	DirInUse	N/A	STANDARD_INFORMATION	2019-12-07 09:03:44.000000 UTC	2025-10-22 22:52:57.000000 UTC	2025-10-22 22:52:57.000000 UTC	2025-10-22 23:04:37.000000 UTC	N/A
* 0x2b250	FILE	1564	1	DirInUse	0x0	FILE_NAME	2025-10-22 17:29:52.000000 UTC	2025-10-22 17:29:52.000000 UTC	2025-10-22 17:29:52.000000 UTC	2025-10-22 17:29:52.000000 UTC	Windows
0x2b450	FILE	1565	1	DirInUse	N/A	STANDARD_INFORMATION	2019-12-07 14:46:11.000000 UTC	2019-12-07 14:46:11.000000 UTC	2025-10-22 17:40:16.000000 UTC	2019-12-07 14:46:11.000000 UTC	N/A
* 0x2b4b0	FILE	1565	1	DirInUse	0x0	FILE_NAME	2025-10-22 17:29:52.000000 UTC	2025-10-22 17:29:52.000000 UTC	2025-10-22 17:29:52.000000 UTC	2025-10-22 17:29:52.000000 UTC	addins
0x2b850	FILE	1566	1	DirInUse	N/A	STANDARD_INFORMATION	2019-12-07 09:14:52.000000 UTC	2025-10-23 00:41:51.000000 UTC	2025-10-23 00:41:51.000000 UTC	2025-10-23 00:41:51.000000 UTC	N/A
* 0x2b8b0	FILE	1566	1	DirInUse	0x0	FILE_NAME	2025-10-22 17:29:52.000000 UTC	2025-10-22 17:29:52.000000 UTC	2025-10-22 17:29:52.000000 UTC	2025-10-22 17:29:52.000000 UTC	appcompat
0x2bc50	FILE	1567	1	DirInUse	N/A	STANDARD_INFORMATION	2019-12-07 09:14:52.000000 UTC	2019-12-07 09:31:03.000000 UTC	2025-10-22 17:40:16.000000 UTC	2019-12-07 09:31:03.000000 UTC	N/A
* 0x2bcb0	FILE	1567	1	DirInUse	0x0	FILE_NAME	2025-10-22 17:29:52.000000 UTC	2025-10-22 17:29:52.000000 UTC	2025-10-22 17:29:52.000000 UTC	2025-10-22 17:29:52.000000 UTC	appraiser
